latitude,longitude,date,fire_occurred,temperature,humidity,wind_speed,rain_7d_sum,rain_30d_sum,temp_7d_avg,temp_30d_max,ndvi,rgb_image,ndvi_image
20.71937,103.41595,2023-04-06,1,34.2,25,7.9,1.0999999999999999,25.600000000000005,32.41428571428572,35.0,0.3610793352127075,2023-04-06_2071937_10341595_rgb.png,2023-04-06_2071937_10341595_ndvi.png
20.23363,102.05658,2023-03-26,1,31.2,31,12.8,0.4,18.899999999999995,30.699999999999996,32.2,0.4037187099456787,2023-03-26_2023363_10205658_rgb.png,2023-03-26_2023363_10205658_ndvi.png
-9.05526,125.5334,2023-09-17,1,27.7,50,10.7,4.1000000000000005,15.099999999999998,28.542857142857144,29.5,0.3749184012413025,2023-09-17_-905526_1255334_rgb.png,2023-09-17_-905526_1255334_ndvi.png
20.63134,102.77949,2023-04-11,1,31.8,40,8.3,18.4,50.60000000000001,31.41428571428571,32.9,0.35202208161354065,2023-04-11_2063134_10277949_rgb.png,2023-04-11_2063134_10277949_ndvi.png
19.63336,103.87724,2023-04-11,1,32.9,35,12.4,0.0,44.7,30.357142857142858,34.3,0.311546266078949,2023-04-11_1963336_10387724_rgb.png,2023-04-11_1963336_10387724_ndvi.png
19.71965,103.3689,2023-03-22,1,27.5,40,11.7,26.900000000000002,32.4,27.271428571428572,29.7,0.2934141755104065,2023-03-22_1971965_1033689_rgb.png,2023-03-22_1971965_1033689_ndvi.png
20.03728,101.49216,2022-09-01,0,27.8,68,2.9,44.9,387.89999999999986,27.900000000000002,30.0,0.2800901234149933,2022-09-01_2003728_10149216_rgb.png,2022-09-01_2003728_10149216_ndvi.png
-9.0638,125.23186,2023-03-26,0,21.4,70,8.3,53.2,190.79999999999998,20.442857142857143,21.5,0.3626351058483124,2023-03-26_-90638_12523186_rgb.png,2023-03-26_-90638_12523186_ndvi.png
-9.40888,124.08437,2023-08-20,1,29.8,46,16.9,0.9,6.799999999999998,28.71428571428572,30.6,0.25466394424438477,2023-08-20_-940888_12408437_rgb.png,2023-08-20_-940888_12408437_ndvi.png
20.63134,102.77949,2022-10-13,0,27.2,48,8.5,3.4000000000000004,131.3,26.785714285714285,28.2,0.40681466460227966,2022-10-13_2063134_10277949_rgb.png,2022-10-13_2063134_10277949_ndvi.png
-8.89561,125.44002,2023-11-08,1,23.8,31,10.3,1.2000000000000002,4.0,23.314285714285717,24.2,0.3049699664115906,2023-11-08_-889561_12544002_rgb.png,2023-11-08_-889561_12544002_ndvi.png
18.96982,101.44579,2022-09-06,0,29.5,68,0.8,60.300000000000004,405.5,30.971428571428564,33.9,0.5776798725128174,2022-09-06_1896982_10144579_rgb.png,2022-09-06_1896982_10144579_ndvi.png
-9.05026,125.53159,2023-09-17,1,27.2,50,10.7,4.1000000000000005,15.099999999999998,28.042857142857144,29.0,0.3825870752334595,2023-09-17_-905026_12553159_rgb.png,2023-09-17_-905026_12553159_ndvi.png
-8.59535,126.2377,2023-09-01,1,28.9,43,15.3,1.0,9.1,29.37142857142857,30.3,0.39569586515426636,2023-09-01_-859535_1262377_rgb.png,2023-09-01_-859535_1262377_ndvi.png
19.53524,102.5265,2022-09-17,0,24.2,80,6.6,23.700000000000003,202.39999999999998,25.685714285714287,29.0,0.4881023168563843,2022-09-17_1953524_1025265_rgb.png,2022-09-17_1953524_1025265_ndvi.png
14.86467,106.41239,2023-03-01,1,31.4,39,7.9,0.0,2.6000000000000005,32.51428571428571,34.6,0.29654911160469055,2023-03-01_1486467_10641239_rgb.png,2023-03-01_1486467_10641239_ndvi.png
-8.54664,126.96856,2023-05-02,0,25.7,81,16.5,51.50000000000001,151.8,26.357142857142858,28.6,0.3085252642631531,2023-05-02_-854664_12696856_rgb.png,2023-05-02_-854664_12696856_ndvi.png
20.43575,100.42033,2022-09-21,0,29.3,67,4.0,108.99999999999999,380.50000000000006,28.914285714285715,32.7,0.3484424650669098,2022-09-21_2043575_10042033_rgb.png,2022-09-21_2043575_10042033_ndvi.png
19.81114,103.13369,2023-03-26,1,32.4,29,11.3,2.2,13.2,32.94285714285714,34.7,0.29928454756736755,2023-03-26_1981114_10313369_rgb.png,2023-03-26_1981114_10313369_ndvi.png
-8.58465,126.28598,2023-10-12,1,32.3,37,10.5,5.2,10.9,32.971428571428575,33.7,0.2837957441806793,2023-10-12_-858465_12628598_rgb.png,2023-10-12_-858465_12628598_ndvi.png
